,Brand,Model,Price,Color,RAM (GB),ROM (GB),Rating,Battery (mAh),Display (inch),Camera,Processor
118,realme,9i,14499,Prism Blue,6,128.0,4.5,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 680 (SM6225)
119,realme,9i,11999,Prism Blue,4,64.0,4.5,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 680 (SM6225)
120,realme,Narzo,23937,60 pro 5G ?Cosmic Black,8,128.0,4.4,5000.0,6.7,100MP Rear,
121,realme,Narzo,13790,50 Speed Blue,6,128.0,4.3,5000.0,6.6,50MP + 2MP + 2MP | 16MP Front,Mediatek Helio G96
122,realme,9,17999,5G SE Azure Glow,8,128.0,4.3,5000.0,6.6,48MP + 2MP + 2MP | 16MP Front,Qualcomm Snapdragon 778G
123,realme,C11,7499,2021 Cool Blue,2,32.0,4.4,5000.0,6.5,8MP Rear,Octa-core
124,realme,C11,7499,2021 Cool Grey,2,32.0,4.4,5000.0,6.5,8MP Rear,Octa-core
125,realme,Narzo,8999,50i Carbon Black,4,64.0,4.3,5000.0,6.5,8MP Rear,SC9863A
126,realme,XT,16599,Pearl White,4,64.0,4.5,4000.0,6.4,64MP + 8MP + 2MP + 2MP Quad,Qualcomm 712
127,realme,Narzo,7488,50i Mint Green,2,32.0,4.5,5000.0,6.5,8MP Rear,SC9863A
128,realme,Narzo,7499,50i Carbon Black,2,32.0,4.5,5000.0,6.5,8MP Rear,SC9863A
129,realme,C31,8049,Dark Green,3,32.0,4.5,5000.0,2,13MP + 2MP + 0.3MP | 5MP Front,Unisoc T612
130,realme,3i,8550,Diamond Black,3,32.0,4.4,4230.0,2,13MP + 2MP | 13MP Front,MediaTek Helio P60 Octa Core 2.0 GHz
131,realme,C30s,8499,Stripe Blue,4,64.0,4.2,5000.0,6.5,8MP Rear,Unisoc SC9863A/ Unisoc SC9863A1
132,realme,C31,8749,Dark Green,4,64.0,4.4,5000.0,2,13MP + 2MP + 0.3MP | 5MP Front,Unisoc T612
133,realme,Narzo,23599,60 Pro 5G Mars orange,8,128.0,4.4,5000.0,6.7,100MP Rear,
134,realme,Narzo,7989,50i Prime Dark Blue,3,32.0,4.2,5000.0,6.5,8MP Rear,
135,realme,Narzo,8999,50i Mint Green,4,64.0,4.3,5000.0,6.5,8MP Rear,SC9863A
